Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3581.0,1.63713,1.41892,1.41152,1.39703,1.37338,1.4002125
3582.0,1.63255,1.41429,1.40659,1.39167,1.3696,1.3955375
3583.0,1.87286,1.41156,1.40385,1.38854,1.36786,1.3929525
3584.0,1.75064,1.40902,1.40161,1.38624,1.36582,1.3906725
3585.0,1.8196,1.4061,1.3995,1.38433,1.36274,1.3881675000000002
3586.0,1.96116,1.40402,1.39884,1.38401,1.36027,1.386785
3587.0,1.59402,1.40512,1.40181,1.38722,1.36147,1.3889049999999998
3588.0,1.86735,1.41123,1.41002,1.39542,1.36877,1.39636
3589.0,1.58253,1.4221,1.42287,1.40805,1.38185,1.4087175
3590.0,1.66475,1.43506,1.43746,1.42254,1.39713,1.4230474999999998
3591.0,1.79747,1.44669,1.45041,1.43587,1.41,1.4357425
3592.0,1.52785,1.45525,1.46033,1.4466,1.41843,1.4451525
3593.0,1.7492,1.46168,1.46828,1.45542,1.42431,1.4524225000000002
3594.0,1.69701,1.46804,1.47634,1.46403,1.4309,1.4598275
3595.0,1.55296,1.47557,1.48565,1.47363,1.43952,1.4685925
3596.0,1.64085,1.48398,1.49582,1.48394,1.44924,1.4782449999999998
3597.0,1.68804,1.49231,1.50565,1.49385,1.45863,1.48761
3598.0,1.50986,1.49945,1.51371,1.50191,1.46665,1.4954299999999998
3599.0,1.59001,1.50405,1.51823,1.50643,1.47194,1.5001625
3600.0,1.69013,1.5044,1.5173,1.50566,1.47228,1.4999099999999999
3601.0,1.59758,1.49936,1.51019,1.49912,1.46596,1.4936575
3602.0,1.50765,1.4897,1.49811,1.48775,1.45395,1.4823775
3603.0,1.93823,1.47808,1.48426,1.47451,1.44008,1.4692325
3604.0,1.49033,1.46758,1.47188,1.46235,1.42839,1.4575500000000001
3605.0,1.55018,1.45977,1.46252,1.45278,1.42061,1.44892
3606.0,1.77564,1.45417,1.45563,1.44568,1.41537,1.4427125
3607.0,1.73345,1.44961,1.45016,1.44018,1.41063,1.437645
3608.0,1.70024,1.44592,1.44624,1.43644,1.40627,1.4337175
3609.0,1.63175,1.44416,1.44505,1.43534,1.40427,1.4322050000000002
3610.0,1.82911,1.44542,1.44751,1.43774,1.40634,1.4342525
3611.0,1.8177,1.4496,1.45325,1.44341,1.41203,1.4395725
3612.0,1.5756,1.45549,1.46075,1.45091,1.41941,1.4466400000000001
3613.0,1.54991,1.46162,1.46813,1.45843,1.42673,1.4537275
3614.0,1.91544,1.46664,1.47366,1.46415,1.43266,1.4592775
3615.0,1.65142,1.46913,1.47543,1.46621,1.43554,1.4615775000000002
3616.0,1.49423,1.46789,1.47241,1.46388,1.43339,1.4593925
3617.0,1.66984,1.46333,1.46568,1.4581,1.42637,1.45337
3618.0,1.71633,1.45843,1.45948,1.45282,1.41863,1.44734
3619.0,1.60884,1.45756,1.45861,1.4523,1.41647,1.4462350000000002
3620.0,1.63645,1.4636,1.46596,1.45939,1.42378,1.4531824999999998
3621.0,1.88467,1.47592,1.4804,1.47335,1.43899,1.467165
3622.0,1.63204,1.49104,1.49805,1.49071,1.45689,1.4841725000000001
3623.0,1.60003,1.50539,1.51509,1.50803,1.47283,1.500335
3624.0,1.72578,1.51741,1.52988,1.52328,1.48566,1.5140575
3625.0,1.70993,1.52704,1.54179,1.53542,1.49645,1.5251750000000002
3626.0,1.61886,1.53363,1.54932,1.543,1.5047,1.5326625
3627.0,1.64967,1.53489,1.54969,1.54356,1.50687,1.5337525
3628.0,1.47244,1.52854,1.5408,1.53531,1.49937,1.5260049999999998
3629.0,1.69321,1.51453,1.52322,1.51861,1.48225,1.5096525
3630.0,1.68947,1.4958,1.50114,1.49736,1.45986,1.48854
3631.0,1.75135,1.47686,1.47998,1.4764,1.43834,1.467895
3632.0,1.73845,1.46166,1.46433,1.46035,1.42255,1.4522225
3633.0,1.77408,1.45207,1.45593,1.45112,1.41422,1.443335
3634.0,1.67623,1.44788,1.45399,1.44848,1.41209,1.44061
3635.0,1.88933,1.44783,1.4565,1.45083,1.41384,1.44225
3636.0,1.72015,1.45125,1.46263,1.45721,1.41853,1.4474049999999998
3637.0,1.62759,1.45812,1.47191,1.46675,1.42679,1.4558925
3638.0,1.59093,1.46775,1.4831,1.47804,1.43838,1.4668174999999999
3639.0,1.59009,1.47772,1.49358,1.48861,1.4503,1.4775524999999998
3640.0,1.5212,1.48454,1.4999,1.49504,1.45813,1.4844025
3641.0,1.69991,1.48523,1.49918,1.49472,1.45848,1.4844024999999998
3642.0,1.5911,1.47878,1.49078,1.48701,1.45043,1.47675
3643.0,1.76164,1.46654,1.47647,1.47341,1.43593,1.4630875
3644.0,1.53562,1.45149,1.45946,1.45685,1.41885,1.4466625
3645.0,1.50587,1.43666,1.44275,1.44031,1.40286,1.4306450000000002
3646.0,1.60612,1.42361,1.42793,1.42541,1.38964,1.4166475
3647.0,1.7846,1.41186,1.41519,1.4126,1.37843,1.40452
3648.0,1.53141,1.40026,1.40394,1.40191,1.36725,1.39334
3649.0,1.70347,1.38904,1.39471,1.39375,1.35613,1.3834075000000001
3650.0,1.53891,1.38099,1.3909,1.39105,1.34886,1.37795
3651.0,1.64052,1.37943,1.39427,1.39462,1.35005,1.3795924999999998
3652.0,1.4711,1.3847,1.40385,1.4042,1.35952,1.3880675
3653.0,1.39788,1.39382,1.41632,1.41671,1.37201,1.399715
3654.0,1.38556,1.40338,1.42856,1.42925,1.38295,1.411035
3655.0,1.33012,1.41196,1.43957,1.44084,1.39199,1.42109
3656.0,1.29119,1.41999,1.44983,1.45151,1.40081,1.430535
3657.0,1.31918,1.42768,1.45939,1.46126,1.40993,1.439565
3658.0,1.43396,1.43399,1.46698,1.46892,1.41775,1.44691
3659.0,1.64179,1.43714,1.47049,1.47263,1.42174,1.4505
3660.0,1.53564,1.43571,1.4686,1.47113,1.42013,1.4488925
3661.0,1.5271,1.42963,1.46146,1.46452,1.41286,1.4421175000000002
3662.0,1.45848,1.42037,1.45077,1.45443,1.4018,1.4318424999999997
3663.0,1.55248,1.41052,1.43965,1.44366,1.39037,1.42105
3664.0,1.30808,1.40239,1.43065,1.43449,1.38181,1.412335
3665.0,1.55987,1.39654,1.42398,1.42737,1.37673,1.406155
3666.0,1.58074,1.39158,1.41802,1.42113,1.37258,1.4008275000000001
3667.0,1.43251,1.38584,1.4113,1.4145,1.36642,1.394515
3668.0,1.52743,1.37951,1.40417,1.4079,1.35844,1.387505
3669.0,1.4448,1.37502,1.39947,1.40374,1.35248,1.3826775
3670.0,1.51778,1.37508,1.40033,1.40451,1.35288,1.3832
3671.0,1.22074,1.37999,1.4066,1.41014,1.3602,1.3892325
