# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# Object:                          M81
# Display the fields:              $objname,$L,$j2000,$field[modulus],$field[distance],modc,$link[method,method],$link[iref,iref],$link[bibref,bibcode],$link[calib,calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
# pgc: ----------------- PGC number
# dataset: ------------- <NA>
# bibcode: ------------- <NA>
# calib_bibcode: ------- <NA>
# calibsys: ------------ Calibration system
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
$objname,$j2000,modulus,e_modulus,flimit,fquality,distance,e_distance,flimit,fquality,modc,$link[method,method],$link[iref,iref],$link[bibref,bibcode],$link[calib,calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
NGC3031,J095533.1+690355,28.4,,,:,4.78630008240118,,,:,28.3999996185303,Cepheids  ,    51456,Metcalfe+1991          ,                               ,28630,51456,1991MNRAS.250..438M,,Feast1988
NGC3031,J095533.1+690355,27.8,0.2,,p,3.63077927203883,0.350292433496146,,p,27.7999992370605,Cepheids  ,    51277,Freedman+1994          ,                               ,28630,51277,1994ApJ...427..628F,,
NGC3031,J095533.1+690355,27.84,0.0900002,,p,3.69828205767842,0.156502060725384,,p,27.842547583414,TRGB      ,    51764,Jacobs+2009            ,TRGB:Rizzi+2007                ,28630,51764,2009AJ....138..332J,2007ApJ...661..815R,Rizzi+2007
NGC3031,J095533.1+690355,27.59,0.31,,!c,3.29609735338909,0.505795941925314,,!c,27.5524358467491,Cepheids  ,    51350,Madore+1991            ,Cepheids:Madore+1991           ,28630,51350,1991PASP..103..933M,1991PASP..103..933M,Madore+1991
NGC3031,J095533.1+690355,27.7995,,,c,3.63000120162417,,,c,27.8451082851617,Cepheids  ,    51160,Karachentsev+2004      ,Cepheids:Udalski+1999:LMC=18.50,28630,51160,2004AJ....127.2031K,1999AcA....49..201U,
NGC3031,J095533.1+690355,27.8,0.08,,c,3.63077927203883,0.136257261910945,,c,27.7999992370605,Cepheids  ,    51384,Ferrarese+2000         ,                               ,28630,51384,2000ApJS..128..431F,,Ferrarese+2000
NGC3031,J095533.1+690355,27.8,0.2,,c,3.63077927203883,0.350292433496146,,c,27.7999992370605,Cepheids  ,    51332,Sakai+2004             ,                               ,28630,51332,2004ApJ...608...42S,,
NGC3031,J095533.1+690355,27.7,0.1,,c,3.46736972277367,0.163412738421463,,c,27.7000007629395,FGLR      ,    51849,Kudritzki+2012         ,                               ,28630,51849,2012Ap&SS.341..131K,,
NGC3031,J095533.1+690355,27.7,0.09,,c,3.46736972277367,0.146730427384311,,c,27.7000007629395,PNLF      ,    51545,Ciardullo+2002         ,                               ,28630,51545,2002ApJ...577...31C,,Freedman+2001
NGC3031,J095533.1+690355,27.7,,,c,3.46736972277367,,,c,27.7211093428731,TRGB      ,    51468,Mould+2008             ,TRGB:I=-4.05                   ,28630,51468,2008ApJ...686L..75M,,I=-4.05
NGC3031,J095533.1+690355,27.7,0.1,,c,3.46736972277367,0.163412738421463,,c,27.7000007629395,TRGB      ,    51766,Mould+2009             ,                               ,28630,51766,2009ApJ...694.1331M,,Rizzi+2007
NGC3031,J095533.1+690355,27.8,,,c,3.63077927203883,,,c,27.7999992370605,TRGB      ,    52014,Tammann+2008           ,                               ,28630,52014,2008A&ARv..15..289T,,
#-- end of data table ----------------------------------------------------------
# 55 lines were successfully retrieved
#-------------------------------------------------------------------------------
# Pleinpot version: 8.18.10
# Date: 2026-02-03T22:12:25
