TAB5_INDEX,Flag,z_c,z_cErr,A_v,A_vErr,Q,C_Hb,C_HbErr,log_sigma(Hb),log_sigma(Hb)Err,log_sigma([OIII]),log_sigma([OIII])Err,logL(Hb),logL(Hb)Err,12+logO/H,12+logO/HErr,logR_u,logR_uErr,logM_dyn,logM_dynErr,logM_cl,logM_clErr,logM_ion,logM_ionErr,logSFR,logSFRErr
085,1,0.16945,0.96e-5,1.82,0.39,9.13,0.18,0.04,nan,nan,nan,nan,42.49,0.20,7.84,0.32,2.92,0.12,nan,nan,9.34,0.20,7.88,0.20,1.68,0.20
086,1,0.09384,0.78e-5,0.32,0.14,3.74,0.03,0.01,nan,nan,1.475,0.004,41.25,0.09,8.12,0.11,3.10,0.04,nan,nan,8.10,0.09,7.35,0.09,0.44,0.09
087,4,0.08564,1.80e-5,0.44,0.11,0.00,0.04,0.01,1.561,0.033,1.560,0.023,41.83,0.08,7.98,0.09,2.87,0.03,8.29,0.07,8.68,0.08,7.73,0.08,1.02,0.08
088,4,0.05314,1.06e-5,0.34,0.12,0.77,0.03,0.01,1.544,0.026,1.520,0.005,41.18,0.08,8.06,0.09,2.94,0.03,8.33,0.06,8.03,0.08,7.19,0.08,0.37,0.08
089,4,0.04670,1.31e-5,0.34,0.13,2.31,0.03,0.01,1.569,0.034,1.377,0.025,40.72,0.09,8.05,0.10,3.02,0.03,8.46,0.07,7.58,0.09,7.01,0.09,-0.09,0.09
090,4,0.15134,0.86e-5,0.18,0.17,14.08,0.02,0.02,1.587,0.032,1.582,0.000,41.47,0.09,8.19,0.17,3.00,0.06,8.48,0.09,8.32,0.09,7.00,0.09,0.66,0.09
091,1,0.02055,1.46e-5,0.57,0.15,4.07,0.06,0.01,nan,nan,1.275,0.033,40.23,0.09,8.03,0.13,2.43,0.03,nan,nan,7.08,0.09,6.51,0.09,-0.58,0.09
092,3,0.12499,1.06e-5,0.26,0.12,8.14,0.03,0.01,1.660,0.024,1.630,0.008,41.51,0.08,8.04,0.10,3.06,0.03,8.68,0.06,8.36,0.08,7.11,0.08,0.70,0.08
093,4,0.01111,1.80e-5,0.60,0.16,0.00,0.06,0.02,1.396,0.038,1.396,0.026,40.01,0.10,8.16,0.14,2.74,0.03,7.83,0.08,6.86,0.10,5.79,0.10,-0.80,0.10
094,1,0.02893,1.46e-5,1.03,0.22,1.87,0.10,0.02,nan,nan,1.715,0.025,40.84,0.13,8.24,0.17,2.63,0.03,nan,nan,7.69,0.13,6.34,0.13,0.03,0.13
095,4,0.02492,1.18e-5,0.44,0.14,0.00,0.04,0.01,1.434,0.027,1.399,0.004,40.62,0.08,8.06,0.11,2.48,0.03,7.65,0.06,7.47,0.08,6.31,0.08,-0.19,0.08
096,2,0.02141,1.80e-5,1.21,0.28,0.00,0.12,0.03,1.880,0.023,1.893,0.008,41.44,0.15,7.75,0.21,3.24,0.05,9.30,0.07,8.29,0.15,7.21,0.15,0.63,0.15
097,1,0.01361,0.48e-5,0.00,0.00,0.00,0.00,0.00,nan,nan,1.195,0.004,39.54,0.03,nan,nan,2.69,0.03,nan,nan,6.39,0.03,nan,nan,-1.27,0.03
098,4,0.02187,1.16e-5,0.66,0.15,0.00,0.07,0.01,1.465,0.016,1.434,0.004,40.61,0.10,8.29,0.11,2.61,0.03,7.84,0.04,7.46,0.09,6.29,0.09,-0.20,0.10
099,4,0.02765,1.04e-5,0.76,0.72,0.00,0.08,0.07,1.407,0.020,1.366,0.001,40.81,0.28,nan,nan,nan,nan,nan,nan,7.66,0.28,nan,nan,0.00,0.28
100,2,0.02418,0.91e-5,0.00,0.00,33.00,0.00,0.00,1.831,0.023,1.778,0.005,41.76,0.06,nan,nan,2.61,0.04,8.57,0.06,8.61,0.06,6.92,0.06,0.95,0.06
101,2,0.07027,1.31e-5,1.53,0.34,0.00,0.15,0.03,1.868,0.023,1.842,0.003,42.09,0.17,8.20,0.25,2.97,0.03,9.00,0.06,8.95,0.17,7.59,0.17,1.28,0.17
102,4,0.02671,1.05e-5,0.65,0.14,2.86,0.06,0.01,1.431,0.022,1.396,0.001,40.71,0.13,8.17,0.10,nan,nan,nan,nan,7.56,0.13,6.61,0.13,-0.10,0.13
103,4,0.02362,1.31e-5,0.37,0.14,1.54,0.04,0.01,1.309,0.032,1.300,0.003,40.47,0.08,7.88,0.12,2.02,0.06,6.94,0.09,7.32,0.08,5.22,0.08,-0.34,0.08
104,4,0.01508,0.95e-5,0.24,0.06,2.86,0.02,0.01,1.424,0.027,1.402,0.003,40.24,0.07,8.22,0.05,2.43,0.03,7.58,0.06,7.09,0.07,5.99,0.07,-0.57,0.07
105,1,0.01356,0.48e-5,0.10,0.69,0.00,0.01,0.07,nan,nan,1.162,0.002,40.00,0.27,nan,nan,nan,nan,nan,nan,6.85,0.27,nan,nan,-0.81,0.27
106,3,0.03138,1.31e-5,0.59,0.13,0.44,0.06,0.01,1.609,0.024,1.480,0.009,41.05,0.08,8.11,0.10,2.48,0.04,8.00,0.06,7.90,0.08,7.32,0.08,0.24,0.08
107,3,0.03328,0.78e-5,0.38,0.14,0.00,0.04,0.01,1.683,0.024,1.709,0.012,40.86,0.13,7.71,0.11,2.53,0.03,8.20,0.06,7.71,0.13,6.63,0.13,0.05,0.13
108,4,0.02808,2.00e-5,0.63,0.14,0.00,0.06,0.01,1.688,0.024,1.689,0.008,41.28,0.08,8.12,0.12,2.59,0.03,8.27,0.05,8.14,0.08,6.87,0.08,0.47,0.08
109,4,0.03437,1.06e-5,0.00,0.06,8.36,0.00,0.01,1.739,0.023,1.727,0.005,41.10,0.05,8.18,0.07,2.78,0.03,8.56,0.05,7.95,0.05,6.81,0.05,0.29,0.05
110,4,0.01094,1.80e-5,0.22,0.08,1.32,0.02,0.01,1.340,0.021,1.363,0.002,39.76,0.08,7.80,0.06,2.46,0.04,7.44,0.05,6.61,0.08,6.04,0.08,-1.05,0.08
111,3,0.00880,0.36e-5,0.00,0.62,0.00,0.00,0.06,1.494,0.025,1.346,0.008,40.60,0.24,nan,nan,nan,nan,nan,nan,7.45,0.24,nan,nan,-0.21,0.24
112,1,0.19521,0.70e-5,0.78,0.26,0.00,0.08,0.03,nan,nan,nan,nan,41.96,0.13,8.16,0.20,3.09,0.04,nan,nan,8.81,0.13,7.65,0.13,1.15,0.13
113,1,0.14186,0.45e-5,0.83,0.20,3.08,0.08,0.02,nan,nan,1.658,0.024,41.67,0.11,7.91,0.15,3.31,0.05,nan,nan,8.53,0.11,7.23,0.11,0.86,0.11
114,4,0.02711,1.45e-5,0.59,0.14,5.61,0.06,0.01,1.397,0.017,1.313,0.002,40.62,0.09,8.23,0.11,2.71,0.07,7.81,0.08,7.48,0.09,6.62,0.09,-0.19,0.09
115,1,0.08855,0.86e-5,0.79,0.20,13.20,0.08,0.02,nan,nan,1.480,0.024,41.47,0.11,7.90,0.16,3.36,0.07,nan,nan,8.32,0.11,7.76,0.11,0.66,0.11
116,2,0.11270,1.06e-5,1.02,0.23,2.75,0.10,0.02,1.880,0.025,1.821,0.029,41.72,0.13,8.01,0.17,3.22,0.04,9.28,0.06,8.57,0.13,7.91,0.13,0.91,0.13
117,3,0.02662,0.70e-5,0.70,0.19,10.45,0.07,0.02,1.441,0.036,1.332,0.026,40.28,0.11,8.20,0.17,2.78,0.06,7.97,0.09,7.13,0.11,5.79,0.11,-0.53,0.11
118,4,0.10880,1.31e-5,0.32,0.16,1.65,0.03,0.02,1.559,0.046,1.707,0.025,41.25,0.09,7.96,0.13,2.92,0.04,8.34,0.10,8.10,0.09,6.92,0.09,0.44,0.09
119,4,0.11506,0.33e-5,0.80,0.27,0.00,0.08,0.03,1.757,0.033,1.785,0.023,41.64,0.13,7.82,0.20,3.12,0.04,8.94,0.08,8.49,0.13,7.61,0.13,0.83,0.13
120,4,0.10726,0.56e-5,1.11,0.29,1.54,0.11,0.03,1.707,0.025,1.726,0.008,41.44,0.15,7.98,0.23,2.96,0.05,8.68,0.07,8.29,0.15,7.52,0.15,0.63,0.15
121,4,0.06551,1.80e-5,0.41,0.12,3.08,0.04,0.01,1.627,0.031,1.603,0.006,41.27,0.08,7.99,0.10,2.70,0.03,8.25,0.07,8.12,0.08,6.90,0.08,0.46,0.08
122,4,0.07928,0.78e-5,0.74,0.17,0.99,0.07,0.02,1.662,0.033,1.626,0.023,41.59,0.10,8.16,0.13,3.03,0.03,8.65,0.07,8.44,0.10,7.26,0.10,0.78,0.10
123,4,0.06094,1.06e-5,0.70,0.16,3.52,0.07,0.02,1.660,0.033,1.696,0.023,41.74,0.10,8.09,0.11,3.10,0.03,8.72,0.07,8.59,0.10,7.52,0.10,0.93,0.10
124,4,0.02283,0.95e-5,0.79,0.19,0.66,0.08,0.02,1.318,0.046,1.395,0.024,40.48,0.11,8.09,0.14,2.83,0.03,7.77,0.10,7.34,0.11,6.77,0.11,-0.33,0.11
125,4,0.02873,1.06e-5,0.81,0.18,4.62,0.08,0.02,1.568,0.033,1.571,0.023,41.06,0.11,8.00,0.14,3.00,0.03,8.44,0.07,7.91,0.11,7.21,0.11,0.25,0.11
