# id redshift galex.FUV galex.FUV_err galex.NUV galex.NUV_err sloan.sdss.u sloan.sdss.u_err sloan.sdss.g sloan.sdss.g_err sloan.sdss.r sloan.sdss.r_err sloan.sdss.i sloan.sdss.i_err sloan.sdss.z sloan.sdss.z_err wise.W1 wise.W1_err wise.W2 wise.W2_err wise.W3 wise.W3_err wise.W4 wise.W4_err 
16_WISEAJ105040.86+342946.3 0.21242224773886947 0.1565885490660586 0.01601672785739434 0.17670140389666966 0.010006821632381067 0.14845676750522713 0.0027346747184929508 0.30732649292042896 0.0016983489630737275 0.178319977223292 0.0016423876853495596 0.23528812019381684 0.0021670836724674955 0.21242224773886947 0.006456387974042279 0.17779386796365015 0.0068776765679807225 0.16942999399812866 0.011547758563190387 1.0871836497593887 0.13217597528693334 9.999127284300657 1.4090590953801805 
17_TOLOLO1057+083 0.45248063785554865 0.04011252492830266 0.0019539915350898687 0.053846812496643144 0.0013937314210156295 0.13893126817367563 0.00281512939001768 0.3061963433690682 0.0016921035258501663 0.34609872548535275 0.0019126122384163482 0.39156151483961205 0.0025244903797676014 0.45248063785554865 0.007084751166843442 0.31558530925472794 0.010173268401209936 0.26460027758377824 0.013647528266769475 3.184952152978829 0.18774075774331764 18.195420504592427 1.3406881284682473 
20_SHOC143 0.5123892386646791 0.14983042106226616 0.0025520553829630043 0.17237727065323216 0.001793206812405031 0.24819898435070958 0.004343394539112769 0.4309233228186264 0.00198447523869126 0.47380539333882604 0.002181954471364322 0.4479195312542844 0.0028878439394755887 0.5123892386646791 0.009438558582078867 0.2402795324812451 0.007524391347143354 0.1730574481492702 0.010041683408570512 0.8254730754266492 0.10948158709317227 4.028673731465283 0.7643724000773535 
21_SHOC220 0.132678331072416 0.14343000052331234 0.002465679894467407 0.1388161515079953 0.0014293994116093478 0.16780310782909552 0.0029364951033046434 0.3320473357975065 0.0024466151858423255 0.14427796231294793 0.0015946189692928833 0.1763599633897997 0.0021116358780521077 0.132678331072416 0.005865660427980936 0.4741511172776475 0.013101279533639792 0.8321283061246767 0.0229925547976928 7.875949310912751 0.2103665043272194 28.259345345416772 1.4575578601948525 
22_SHOC316 1.8365383433483455 0.19844492645996034 0.00449480956295747 0.23620005804323946 0.00314500865324702 0.5770321353329299 0.008503459795175214 1.3085791612450983 0.004820983791496984 1.5892784698824687 0.005855118261388415 1.623304527765459 0.007475593614044969 1.8365383433483455 0.025372714872635288 0.5509558240331711 0.013701124807023927 0.35464210449029454 0.013065497970358223 2.263095663211581 0.14173839319714854 9.340327341188832 0.9721118121776765 
23_SHOC008 1.7060823890031225 0.2349849239994915 0.004384745619520203 0.3144560827383435 0.003070080332253037 0.5425003216311501 0.005995935136955336 1.0337130523505833 0.0038083396236413235 1.2589254117941688 0.00463805261822183 1.449439191287786 0.006674914150121203 1.7060823890031225 0.018856319406423645 0.6527047575303503 0.023445368619124572 0.4497698044329141 0.021126918238107938 2.61037506549218 0.23080745137634498 13.21788888782224 2.106123722845419 
24_SBS0813+521 1.3867558288718866 0.15994107106601324 0.0021052386672697327 0.1929478750434499 0.0013447451540568181 0.491586559156862 0.005433215438547965 1.0195299775626012 0.0028170654338354395 1.1868613846449216 0.004372558930773871 1.2302687708123812 0.004532477651277915 1.3867558288718866 0.014049742516405235 0.7006752517848154 0.01742433540972731 0.5492755852006643 0.017706552842000834 5.3395285425714984 0.17704395109067553 28.626094246490517 1.5819364291826805 
25_WISEAJ094809.88+425713.1 0.44218092107426826 0.0664660699071074 0.009052111168397112 0.11223285222935 0.006924919574282975 0.22243339984851113 0.0036876371808611933 0.4021610443342134 0.0018520200513337548 0.4487453899331323 0.002479858668983594 0.3944573020752785 0.002906468811459794 0.44218092107426826 0.009774328293811073 0.196208030422469 0.00740928525001459 0.1503108377949956 0.01065998762820385 0.7117097449869821 0.12192465535131407 3.1532768091146655 1.0861989509427885 
28_SHOC022 0.7928663748785468 0.3033611765357601 0.0034331170241859643 0.3086313226298897 0.0021557393636297485 0.5551367774352103 0.004601698805862247 0.9229963848404554 0.002550333259945234 0.8871560120379599 0.0032684035335658447 0.7331620890272124 0.004051603432661839 0.7928663748785468 0.01314462452782731 0.32532450545122116 0.010786857935582045 0.23152094980648188 0.013860513881245928 1.718315518734505 0.16934109749573165 13.451233038803553 1.1769591297464461 
29_WISEAJ121329.48+114057.2 0.5659785862426959 0.10471285480508985 0.002064733232212372 0.13083381342556122 0.0013847773770033383 0.26399761293548085 0.004376714170545002 0.565457540687622 0.002604028207816785 0.5712155216230432 0.0026305446899520745 0.544502652842422 0.003009032859673615 0.5659785862426959 0.009383139760581192 0.3347470652847636 0.01048265699329554 0.307461184131747 0.014725475216526009 3.864585431688932 0.18864898027890858 21.675149258793134 1.4373756164654785 
31_WISEAJ130119.26+123959.7 0.6211550208324409 0.054913610631808746 0.008426330661165816 0.08466033838415506 0.006245661410427377 0.16113875357200008 0.0029682855350282276 0.3410358226533489 0.0015705280028371247 0.3722202530178502 0.0020569651341824976 0.7204436204152838 0.003317765481421787 0.6211550208324409 0.007437363915317359 0.8052241252244098 0.020024248326417686 0.76452254255694 0.022532841084793802 13.523929943877413 0.31139999487467934 85.73577871456133 2.6058638232578843 
32_WISEAJ104653.98+134646.4 0.19462561593612412 0.13843311773105607 0.003634790491795886 0.14690615769845222 0.002223314090006957 0.20912213301552868 0.0034669548438960546 0.35059038393261266 0.0019374340602967039 0.32419028782278714 0.0020901320272957566 0.18518252436381763 0.0027289505285320523 0.19462561593612412 0.010217638556900128 0.10802313530471959 0.006268058018488379 0.09310870695942376 0.011662855204595977 1.104340278365889 0.16172446261870094 6.930460566536098 1.283021205122363 
33_SHOC293 0.14335076007281228 0.04347103696062094 0.0018816802047173376 0.05944563902958102 0.0013529468262463492 0.08717661466018502 0.0018467304750428998 0.12554516736871404 0.0009250509788180591 0.18264172487743563 0.0013457539617968098 0.197696964011186 0.002002941961954284 0.14335076007281228 0.004753113454267539 0.12300330429672522 0.0067974137967035985 0.1483851005950086 0.017766804673929413 0.807426338978258 0.22235647507792242 6.222459760463022 1.6677492952333839 
34_SBS0926+606A 0.4242286549229506 1.4190575216890926 13.049914512728384 1.8365383433483455 2.061058693865257 0.42305808577652354 0.004675810760542173 0.6686517721976394 0.0024634041649061363 0.5685910246988545 0.0026184584349635835 0.3826484865951089 0.003171890523926267 0.4242286549229506 0.01015895479920361 0.43844667231740886 0.011307080643610202 0.3957220912076911 0.013121046549838939 2.8940292243986376 0.1306094715954727 23.744449040310503 1.0497333965102542 
36_SHOC282 0.11397248040197498 0.09375620069258812 0.0025200985264941874 0.09803022512723052 0.0015719796642112182 0.1069547310566159 0.0018716700071067483 0.13182567385564048 0.0010927433933780137 0.11523913771994879 0.0012736700190885213 0.19337485452952533 0.0021372578755179702 0.11397248040197498 0.004093928816408241 0.201519361405527 0.007981066213379193 0.2898613399209349 0.013615580166879379 1.5918528245991201 0.16274272033681053 9.144544902760689 1.19598606963769 
38_SHOC014 0.3162277660168383 0.07289202240659157 0.002554472372569298 0.09191788016944932 0.001704999924991001 0.15966142459934157 0.004117500981536732 0.33790918743772336 0.0021785810417835312 0.24865660513079316 0.002519233165894153 0.3426099724881376 0.003471109907594057 0.3162277660168383 0.015436596408449034 0.15428253931899444 0.007104973502903687 0.14621445016867154 0.011985495194857858 1.882360983198965 0.17510557211772113 12.256376593914284 1.264316481759214 
39_SHOC043 0.22532013356294825 0.035684531557100115 0.0017515994998811972 0.05336297086951985 0.001328377638007607 0.08693606925094173 0.002482203444048884 0.1671860357204467 0.0012318722355413462 0.16703212258150418 0.0015384227020293028 0.23078097296984007 0.0023381284436708684 0.22532013356294825 0.008301100491095555 0.1586049649362646 0.006865786845217222 0.11360312953172412 0.012765146581768319 1.4424571221929403 0.13418376278052005 7.515572987082458 1.211367242775536 
40_SHOC113 0.16458869432193002 0.03253868517801079 0.001787560069347212 0.04008667176273034 0.001350196810180142 0.08009400305332887 0.003467157240413715 0.20436193210844691 0.0015057943630347877 0.1821377637104782 0.0018453058782004837 0.14387985782558466 0.002252810187516799 0.16458869432193002 0.008337548428462658 0.07825584373478514 0.004684959219808082 0.0849943966782541 0.009002514215851047 0.7032389428215995 0.09909917140109911 2.9837476968572463 0.7722254256075626 
41_SHOC592 0.28106062003344 0.03870436975596203 0.006161158031496598 0.05267930055264369 0.0043959864056612305 0.10018437657240258 0.003506382391107045 0.19952623149688828 0.0016539340547016505 0.22325438616167465 0.0022618737746941957 0.24456820721043773 0.0029283233623437705 0.28106062003344 0.010095789505099938 0.1430595248459933 0.007115185353337822 0.10246848034270017 0.012552135432027076 0.7032389428215995 0.19560751479171198 4.520246273065599 1.036661867828265 
42_SHOC590 0.31361729165129903 0.011623047161660047 0.0014318876807661886 0.02033293161467709 0.0012296472050281144 0.08503544719998013 0.0043859503094121465 0.16292960326397213 0.002100891943825116 0.20230191786782678 0.002608577330052757 0.35188438882095846 0.005185559988201341 0.31361729165129903 0.012998349011906048 0.18824210829581428 0.008322114670765685 0.14301786662683208 0.012513810693616657 1.2528610634149873 0.16847344175958184 8.878959944852928 1.2348514729426991 
43_SHOC247 0.15066070661867448 0.024744575057305852 0.000915856048202698 0.03992454726124008 0.0008910411711203659 0.06943844712409827 0.0018547000254518062 0.14269212315793653 0.0010513944181476324 0.1164126029410492 0.0011794196663422567 0.1799699516577357 0.0019891014137950144 0.15066070661867448 0.005550545554561749 0.12494439493919242 0.006099136146291078 0.07498774527304133 0.010014608536530504 0.41067939388709374 0.13087439625041247 5.350102429141381 0.9263937706697797 
