 # ; obj tags ;obj count;    raw id    ;            identifier             ;typ;      coord1 (FK5,J2000/2000)      ;  redshift  
75 ;d         ;        3;J101136+263027;SDSS J101136.05+263027.5           ;G  ;152.900229 +26.507631              ;0.05467     
76 ;d         ;        3;J101157+130822;SDSS J101157.08+130822.0           ;EmG;152.9878610174753 +13.1394618194447;0.14378     
77 ;d         ;        3;J101430+004755;2QZ J101430.9+004754               ;Sy1;153.6290651747648 +00.7986438829374;0.147       
78 ;d         ;        3;J101458+193219;SDSS J101458.64+193219.5           ;EmG;153.7443364180922 +19.5387486123419;0.01263     
79 ;d         ;        3;J102429+052451;[ITS2007] 52319-575-521            ;EmG;156.121878 +05.414161              ;0.03329     
80 ;d         ;        3;J102732-284201;LEDA 30766                         ;H2G;156.8838 -28.7003                  ;0.032000    
81 ;d         ;        3;J103226+271755;SDSS J103226.95+271755.2           ;EmG;158.1123283449370 +27.2986706126834;0.19243     
82 ;d         ;        3;J103328+070801;Z 37-76                            ;H2G;158.3688869339107 +07.1338073076060;0.04453     
83 ;d         ;        3;J103412+014249;SDSS J103412.22+014249.1           ;G  ;158.550956 +01.713623              ;0.06870     
84 ;d         ;        3;J103509+094516;SDSS J103509.33+094516.7           ;G  ;158.7888634522578 +09.7546876955984;0.04913     
85 ;d         ;        3;J103726+270759;SDSS J103726.54+270759.6           ;G  ;159.360618 +27.133241              ;0.07708     
86 ;x*        ;        1;Feige 34      ;Feige 34                           ;HS*;159.9030684986563 +43.1025547865356;-0.000031   
87 ;d         ;        3;J104457+035313;[ITS2007] 52339-578-60             ;EmG;161.240826 +03.886981              ;0.01315     
88 ;d         ;        3;J104554+010405;SHOC 308                           ;EmG;161.478250 +01.068271              ;0.02620     
89 ;d         ;        3;J104653+134645;[ITS2007] 53357-1749-499           ;EmG;161.724951 +13.779367              ;0.01074     
90 ;d         ;        3;J104723+302144;Ton 542                            ;rG ;161.848371 +30.362295              ;0.02945     
91 ;d         ;        3;J104755+073951;SDSS J104755.92+073951.2           ;Sy1;161.9830304594677 +07.6642270898377;0.16828     
92 ;d         ;        3;J104829+111520;SDSSCGB 46575.1                    ;G  ;162.1218021999947 +11.2554969291580;0.09273     
93 ;d         ;        3;J105032+153806;SDSSCGB 21027.1                    ;EmG;162.635473 +15.635084              ;0.08443     
94 ;d         ;        3;J105040+342947;SDSS J105040.83+342947.3           ;EmG;162.670153 +34.496491              ;0.05227     
95 ;d         ;        3;J105108+131927;SDSS J105108.88+131927.9           ;H2G;162.787023 +13.324436              ;0.04545     
96 ;d         ;        3;J105210+032713;SDSS J105210.41+032713.2           ;QSO;163.0434096960679 +03.4536856385346;0.15015     
97 ;d         ;        3;J105326+043014;2MASS J10532599+0430141            ;AG?;163.3584288421278 +04.5040215834632;0.01900     
98 ;d         ;        3;J105331+011740;2QZ J105331.4+011739               ;EmG;163.3808839605634 +01.2945073413754;0.12380     
99 ;d         ;        3;J105741+653539;LEDA 2678872                       ;Sy1;164.4248696889153 +65.5944138270268;0.01146     
100;d         ;        3;J105940+080056;BFW78 7                            ;EmG;164.9207287879578 +08.0158092971616;0.02752     
101;d         ;        3;J110838+223809;LEDA 139529                        ;EmG;167.160421 +22.636044              ;0.02404     
102;d         ;        3;J114212+002003;SDSS J114212.38+002002.5           ;PoG;175.551594 +00.334036              ;0.01855     
103;d         ;        3;J115023-003141;2dFGRS TGN378Z115                  ;H2G;177.5994175625703 -00.5280832428049;0.01277     
104;d         ;        3;J121329+114056;SDSS J121329.49+114056.9           ;H2G;183.3728591015251 +11.6824813599694;0.02069     
105;d         ;        3;J121717-280233;LEDA 39402                         ;AGN;184.321230 -28.042410              ;0.026000    
