    0.200059681765882900E+02    0.999712373649146713E+01   -0.317860183553252090E+07
    0.200059751567733208E+02    0.999712573677063254E+01   -0.317860183285489818E+07
    0.200059760645863847E+02    0.999712602569414166E+01   -0.317860182370585483E+07
    0.200059538966197934E+02    0.999711987079389175E+01   -0.317860177175360359E+07
    0.200060103251368702E+02    0.999713602033875404E+01   -0.317860175650312565E+07
    0.200059677974160444E+02    0.999712391856558291E+01   -0.317860174676028080E+07
    0.200059428852067960E+02    0.999711682103686528E+01   -0.317860174364014203E+07
    0.200059920951623447E+02    0.999713096639263021E+01   -0.317860171146292193E+07
    0.200059738389181803E+02    0.999712577183094098E+01   -0.317860170713620912E+07
    0.200059684954574379E+02    0.999712425017520978E+01   -0.317860170625143545E+07
    0.200059701288395324E+02    0.999712472810654518E+01   -0.317860170260908687E+07
    0.200059928309594461E+02    0.999713123424821859E+01   -0.317860169374722661E+07
    0.200059466500524046E+02    0.999711808474424579E+01   -0.317860168566645309E+07
    0.200059703223223408E+02    0.999712489312000940E+01   -0.317860166902448190E+07
    0.200059483013285515E+02    0.999711864226708613E+01   -0.317860165924320742E+07
    0.200059937610451328E+02    0.999713169537598034E+01   -0.317860163387457654E+07
    0.200059351839782487E+02    0.999711501536831904E+01   -0.317860162387951510E+07
    0.200058829221414278E+02    0.999710019107663150E+01   -0.317860159739452321E+07
    0.200059127190826302E+02    0.999710871626443520E+01   -0.317860159012003290E+07
    0.200059479316148128E+02    0.999711876425008406E+01   -0.317860158967462834E+07
    0.200059755859770156E+02    0.999712667148660827E+01   -0.317860158443268994E+07
    0.200059423270988042E+02    0.999711719591976511E+01   -0.317860158028511750E+07
    0.200059930430954473E+02    0.999713166941727138E+01   -0.317860157916567242E+07
    0.200059789737764540E+02    0.999712766219949422E+01   -0.317860157705087075E+07
    0.200058696642742966E+02    0.999709648526610550E+01   -0.317860157390323794E+07
    0.200058624421653981E+02    0.999709447042199706E+01   -0.317860155992466630E+07
    0.200059928822089503E+02    0.999713177623299742E+01   -0.317860153245813400E+07
    0.200058664281329754E+02    0.999709570331738639E+01   -0.317860153066980978E+07
    0.200059585175127701E+02    0.999712198399195628E+01   -0.317860152866935730E+07
    0.200059754166823076E+02    0.999712681315213025E+01   -0.317860152633294603E+07
    0.200059682295714367E+02    0.999712477083032525E+01   -0.317860152381259436E+07
    0.200059984049631296E+02    0.999713338291394393E+01   -0.317860152298375592E+07
    0.200059122784416203E+02    0.999710881941484431E+01   -0.317860152012209315E+07
    0.200058676741316113E+02    0.999709610701857265E+01   -0.317860151592713501E+07
    0.200060177899773670E+02    0.999713895288789800E+01   -0.317860151099002687E+07
    0.200059834250962467E+02    0.999712916720140399E+01   -0.317860150518099358E+07
    0.200060036048251924E+02    0.999713492569661533E+01   -0.317860150487657078E+07
    0.200059139780985760E+02    0.999710936431358022E+01   -0.317860150178155536E+07
    0.200059344458554094E+02    0.999711522143211084E+01   -0.317860149644822767E+07
    0.200059547802150881E+02    0.999712107110122261E+01   -0.317860148175276211E+07
    0.200059669819294115E+02    0.999712459572410772E+01   -0.317860146849822113E+07
    0.200059406435616083E+02    0.999711708710156444E+01   -0.317860146666095406E+07
    0.200059700642119260E+02    0.999712552390264619E+01   -0.317860145358263748E+07
    0.200059613787918451E+02    0.999712308112907166E+01   -0.317860144279460330E+07
    0.200058710760154668E+02    0.999709731736980700E+01   -0.317860144260006770E+07
    0.200059523719920413E+02    0.999712057830900847E+01   -0.317860142232765304E+07
    0.200060123768017242E+02    0.999713773753035007E+01   -0.317860141034359811E+07
