id redshift galex.FUV galex.FUV_err galex.NUV galex.NUV_err sloan.sdss.u sloan.sdss.u_err sloan.sdss.g sloan.sdss.g_err sloan.sdss.r sloan.sdss.r_err sloan.sdss.i sloan.sdss.i_err sloan.sdss.z sloan.sdss.z_err ukirt.wfcam.Y ukirt.wfcam.Y_err ukirt.wfcam.J ukirt.wfcam.J_err ukirt.wfcam.H ukirt.wfcam.H_err ukirt.wfcam.K ukirt.wfcam.K_err wise.W1 wise.W1_err wise.W2 wise.W2_err wise.W3 wise.W3_err wise.W4 wise.W4_err
_23_ 0.06291268 0.0389827075661763 0.0047726103927262 0.0490357427533854 0.0014583424347176 0.0965904890296472 0.0012300555939694 0.1889354142766553 0.0006887594162245 0.1514279607305579 0.0008045098218805 0.2623395041928116 0.0012896818937902 0.2140797611355707 0.0040820338243121 nan nan nan nan nan nan nan nan 0.1062470936742113 0.006947860960486 0.1021857280611416 0.0122351489674248 1.228861565474055 0.166378030921121 9.690849411526107 nan
_24_ 0.07418911 nan nan nan nan 0.0553179480001324 0.0006541364385268 0.1004829970338453 0.0003301102078682 0.1030019161768014 0.0004163197676228 0.154853134682706 0.000616059591232 0.1324406927795823 0.0017889296766906 nan nan nan nan nan nan nan nan 0.0746649069177284 0.0055702824509075 0.0532341779240311 0.0130421104139102 nan nan 3.1128781072321723 nan
_25_ 0.03925349 0.0880422516061823 0.0022463657170053 0.1083291495061338 0.0016624115896844 0.1725303398260966 0.0011330825296013 0.3787491598372021 0.0007194179289291 0.3545597382066136 0.0008038061509063 0.4125713517348466 0.0010913379511642 0.4315266213354219 0.0029826390175781 0.181735357156673 0.0040172268278045 0.174619026235282 0.0028133770313182 0.1878339134676441 0.0081310668208398 0.136028281901878 0.0077677738875444 0.2343777487656871 0.0084189255149387 0.1744979683073135 0.0122146108595325 0.927049787876966 0.1545458264987466 7.124624688704984 nan
_26_ 0.06977919 0.2286352747700198 0.0044664806975744 0.2891021802671453 0.0028316146208616 0.3689242056111935 0.0009991068183602 0.5973025154265359 0.0006259824434668 0.5267612899231593 0.0006393989732812 0.8226868350516194 0.0009873444871023 0.6755606555183882 0.0020408761319423 0.4505307508694778 0.0027758968646298 0.4472433239349487 0.001959506003214 0.5085472171478583 0.0037980262045627 0.4936616162563157 0.0041795873323592 0.5596501672394122 0.0154637061784187 0.5620697031313306 0.0186366699545899 7.329983771051371 0.2362907613370006 48.83847028370402 nan
_27_ 0.01952992 0.1532027312377832 0.0037698063440638 0.2014215261247065 0.0023245874760693 0.4186585066615925 0.002509526570171 0.9437738459336508 0.0018490951299692 0.94392761724476 0.0020839625660511 0.8872105045730567 0.002527159931879 0.9813984354361154 0.0076817052286328 nan nan nan nan nan nan nan nan 0.3822229982468106 0.0109132522099976 0.323139645035789 0.0148811305922959 3.505119065010176 0.1937000451873501 22.282409364171748 nan
_28_ 0.01988286 nan nan nan nan 0.1691248280638181 0.0014590666003528 0.3616619084282826 0.000811347991004 0.4294441941629037 0.0010510741159557 0.4112598733714176 0.0012889149498146 0.5343988235836024 0.0047861695941748 0.1678955756369091 0.0032473882932047 0.1774563072830152 0.002382575142128 0.1965051430863887 0.0059726015014462 0.1598194642651299 0.0058879665241886 0.2624924509090301 0.0094288148259591 0.2152733403289925 0.0148705558853588 1.2528610986300657 0.1430870378408349 9.169846348896831 nan
_29_ 0.05525259 0.0565821659553826 0.0014686674361134 0.0759047906403541 0.001379971924266 0.1545422508257975 0.0022156859863308 0.3120751828884194 0.0012620022033409 0.29713581211755 0.0014550400111048 0.4115552115099982 0.0021694673215211 0.4012640769185498 0.006050664217777 nan nan nan nan nan nan nan nan 0.2472387870638572 0.0081977513621751 0.1977835859268149 0.0107477598121135 1.2563279689718223 0.1261261603808685 9.871015580102412 nan
_30_ 0.02355351 0.1553939910721946 0.0037005765528584 0.1924910969290642 0.0013268391981468 0.5015845070306528 0.0028680114051241 1.0449376355154718 0.0019029979752295 1.2196669191187108 0.0024408084673913 1.2589825222779936 0.002993778021859 1.4023702816755244 0.0081792399567696 nan nan nan nan nan nan nan nan 0.700674690494938 0.0174243215180846 0.5492751451925089 0.0177065388266764 5.339530456117556 0.1770439969789528 28.626093341299256 nan
_31_ 0.08685078 0.0170788057531485 0.0013844911074147 0.0283630834824267 0.0011179690866085 0.0450641659178343 0.000498151647784 0.100847221695007 0.0002774951724782 0.1107165431753791 0.0003471475369826 0.1636666435710083 0.0005224703753908 0.1418148849285776 0.0016093722021776 0.0965248907958193 0.0031115948583381 0.0896791391706465 0.0028083164991125 0.0935349717069857 0.0038767003215164 nan nan nan nan nan nan nan nan nan nan
_32_ 0.09685791 0.0851452999980954 0.0104499311796603 0.079231609825748 0.0057386912565785 0.1049706832327138 0.0011987654438603 0.1367836794453611 0.0005336060103423 0.123496259001996 0.0006768615534864 0.2064234081792068 0.0009507150868654 0.1401164471326506 0.0031935097552423 nan nan nan nan nan nan nan nan 0.1119738837270011 0.0059816421575522 0.0733483554453175 0.010268562180316 1.2299932878849609 0.1484053942993772 9.203693202824676 nan
