No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
29,23.34,0.01,0.466,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep020, VIJHK, 3.6, 4.5(W)",,,,
30,23.35,0.01,0.468,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep008, VIJHK, 3.6, 4.5(W)",,,,
31,23.35,0.07,0.468,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep030, VIJHK, 3.6, 4.5(W)",,,,
32,23.35,0.09,0.468,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep038, VIJHK, 3.6, 4.5(W)",,,,
33,23.36,0.01,0.47,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep015, VIJHK, 3.6, 4.5(W)",,,,
34,23.37,0.04,0.472,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep024, VIJHK, 3.6, 4.5(W)",,,,
35,23.38,0.52,0.474,Cepheids,2002A&A...383..398P,"4, VI",,,,
36,23.38,0.52,0.474,Cepheids,2002A&A...389...19P,MW GFG,,,,
37,23.38,0.22,0.474,Cepheids,2010ApJ...715..277B,VI(W),,,,
38,23.38,0.01,0.474,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep006, VIJHK, 3.6, 4.5(W)",,,,
39,23.38,0.01,0.474,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep017, VIJHK, 3.6, 4.5(W)",,,,
40,23.38,0.04,0.474,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep023, VIJHK, 3.6, 4.5(W)",,,,
41,23.38,0.05,0.474,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep029, VIJHK, 3.6, 4.5(W)",,,,
42,23.38,0.05,0.474,Cepheids,2014ApJ...794..107R,"19, 3.6 micron, 17, 4.5 micron, Stat. +/- 0.02, Syst. +/- 0.04",,,,
43,23.39,0.08,0.476,Cepheids,2004ApJ...608...42S,LMC VIHJK,,,,
44,23.39,0.08,0.476,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep031, VIJHK, 3.6, 4.5(W)",,,,
45,23.39,0.08,0.476,Cepheids,2016AJ....151...88B,"20, JHKs, GAL PL",,,,
47,23.4,0.05,0.479,Cepheids,2012MNRAS.421.2998F,VIJHK,,,,
48,23.4,0.04,0.479,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep036, VIJHK, 3.6, 4.5(W)",,,,
49,23.4,0.06,0.479,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep039, VIJHK, 3.6, 4.5(W)",,,,
50,23.41,0.06,0.481,Cepheids,2016AJ....151...88B,"20, JHKs, LMC PL",,,,
51,23.41,0.08,0.481,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep021, VIJHK, 3.6, 4.5(W)",,,,
53,23.42,0.01,0.483,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep016, VIJHK, 3.6, 4.5(W)",,,,
54,23.43,0.02,0.485,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep014, VIJHK, 3.6, 4.5(W)",,,,
55,23.43,0.06,0.485,Cepheids,2016AJ....151...88B,"20, JHKs, GAL+LMC PL",,,,
56,23.45,0.02,0.49,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep010, VIJHK, 3.6, 4.5(W)",,,,
57,23.46,0.02,0.492,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep004, VIJHK, 3.6, 4.5(W)",,,,
58,23.46,0.08,0.492,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep005, VIJHK, 3.6, 4.5(W)",,,,
60,23.48,0.02,0.497,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep011, VIJHK, 3.6, 4.5(W)",,,,
62,23.49,0.09,0.499,Cepheids,2000ApJ...529..745F,HST KP Calibrated,,,,
63,23.49,0.03,0.5,Cepheids,2009ApJ...693..936M,"16, BVRIJHK, IRAC",,,,
64,23.51,0.08,0.504,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep009, VIJHK, 3.6, 4.5(W)",,,,
65,23.54,0.03,0.511,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep022, VIJHK, 3.6, 4.5(W)",,,,
66,23.55,0.01,0.513,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep012, VIJHK, 3.6, 4.5(W)",,,,
67,23.58,0.05,0.52,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep032, VIJHK, 3.6, 4.5(W)",,,,
69,23.62,0.07,0.53,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep037, VIJHK, 3.6, 4.5(W)",,,,
71,23.7,0.08,0.55,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep013, VIJHK, 3.6, 4.5(W)",,,,
72,23.96,0.02,0.619,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep001, VIJHK, 3.6, 4.5(W)",,,,
97,23.26,0.07,0.449,TRGB,2011AJ....141..194G,K,,,,
98,23.31,0.05,0.459,TRGB,2011AJ....141..194G,J,,,,
99,23.32,0.1,0.461,TRGB,2012A&A...540A..49M,,,,,
100,23.34,0.12,0.466,TRGB,2005A&A...429..837C,"I, MI = _4.04 mag",,,,
101,23.37,0.07,0.472,TRGB,2004ApJ...608...42S,,,,,
102,23.39,0.16,0.476,TRGB,2000ApJ...529..745F,HST KP Calibrated,,,,
104,23.44,0.16,0.488,TRGB,2003AJ....125.3097W,"I, avg",,,,
106,23.5,,0.501,TRGB,2011ApJ...738...58H,I,,,,
107,23.51,0.05,0.504,TRGB,2012A&A...548A.129F,"I, Z correct",,,,
108,23.53,0.05,0.508,TRGB,2012A&A...548A.129F,"I, Mean of 2",,,,
109,23.54,0.05,0.511,TRGB,2012A&A...548A.129F,I,,,,
116,24.0,,0.631,TRGB,2010AJ....140.1038P,"I, M TRGB(I) = -4.05 mag",,,,
94,23.36,0.17,0.47,RR Lyrae,2003ApJ...588L..85C,,,,,
95,23.43,,0.485,RR Lyrae,2008ApJ...679...52T,,,,,
96,23.49,0.05,0.499,RR Lyrae,2012MNRAS.421.2998F,,,,,
