No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
53,18.37,0.02,0.0472,Cepheids,2013A&A...550A..70G,"36, K, Baade-Wesselink, Storm et al. method",,,,
54,18.37,0.16,0.0473,Cepheids,2013A&A...550A..70G,"HV 6093, 1, VK(W), Baade-Wesselink",,,,
55,18.39,0.05,0.0476,Cepheids,2005A&A...434.1077M,LMC SC3-360128,,,,
56,18.39,0.05,0.0476,Cepheids,2007MNRAS.379..723V,"VI, Z",,,,
57,18.39,0.05,0.0476,Cepheids,2007MNRAS.379..723V,"VI+Z, GAL+LMC PL",,,,
58,18.39,0.09,0.0476,Cepheids,2008MNRAS.390.1539M,VI,,,,
59,18.39,0.03,0.0476,Cepheids,2010ARA&A..48..673F,"(Galactic + LMC) VI Wesenheit, Z",,,,
60,18.39,0.03,0.0476,Cepheids,2016MNRAS.457.3084M,"24, VI, NHC 1866, LMC BW 1 of 2",,,,
61,18.39,0.06,0.0477,Cepheids,2013A&A...550A..70G,"HV 899, 1, VK(W), Baade-Wesselink",,,,
62,18.4,0.08,0.0478,Cepheids,2013A&A...550A..70G,"HV 12198, 1, VK(W), Baade-Wesselink",,,,
63,18.4,0.08,0.0479,Cepheids,2016AJ....151...88B,"1264, JH(W)",,,,
65,18.4,0.1,0.0479,Cepheids,2007A&A...476...73F,GAL + LMC PL,,,,
66,18.4,0.05,0.0479,Cepheids,2007Natur.449..872O,,,,,
67,18.4,,0.0479,Cepheids,2011ApJ...741L..36M,,,,,
68,18.4,0.05,0.048,Cepheids,2007AJ....133.1810B,"W, Z",,,,
69,18.41,0.15,0.048,Cepheids,2013A&A...550A..70G,"HV 2538, 1, VK(W), Baade-Wesselink",,,,
71,18.41,0.1,0.0481,Cepheids,2006ApJ...652.1133M,"W, Z",,,,
72,18.41,0.16,0.0481,Cepheids,2007Natur.449..872O,NGC 4258 at 7.2 Mpc,,,,
73,18.41,0.08,0.0481,Cepheids,2013A&A...550A..70G,"HV 1023, 1, VK(W), Baade-Wesselink",,,,
77,18.42,0.1,0.0483,Cepheids,2000ApJ...533L.107G,"HV 12198, BW, IR SB",,,,
78,18.42,0.1,0.0483,Cepheids,2007A&A...462..599T,"NGC 1866, 15, K",,,,
79,18.42,0.1,0.0483,Cepheids,2007A&A...462..599T,"NGC 2031, 15, K",,,,
80,18.44,0.08,0.0487,Cepheids,2013ApJ...772..130M,,,,,
81,18.44,0.09,0.0488,Cepheids,2016AJ....151...88B,"1264, JKs(W)",,,,
84,18.44,0.03,0.0488,Cepheids,2010ARA&A..48..673F,(Galactic + LMC) VI Wesenheit,,,,
87,18.45,0.07,0.049,Cepheids,2004A&A...415..531S,"OGLE, I",,,,
88,18.45,0.11,0.049,Cepheids,2007A&A...462..599T,"NGC 1866, 15, J",,,,
89,18.45,0.11,0.049,Cepheids,2007A&A...462..599T,"NGC 2031, 15, J",,,,
90,18.45,0.04,0.049,Cepheids,2007MNRAS.379..723V,JK,,,,
91,18.45,0.04,0.049,Cepheids,2007MNRAS.379..723V,"JK, GAL+LMC PL",,,,
92,18.45,0.09,0.049,Cepheids,2008ApJ...684..102B,,,,,
93,18.45,0.04,0.049,Cepheids,2011A&A...534A..94S,"IRSB, PL4",,,,
94,18.45,0.02,0.049,Cepheids,2013ApJ...764...84I,"3042, W(VIHJKs), +/- 0.10 mag syst.",,,,
95,18.46,0.09,0.0491,Cepheids,2013A&A...550A..70G,"HV 877, 1, VK(W), Baade-Wesselink",,,,
96,18.46,0.1,0.0492,Cepheids,2013A&A...550A..70G,"HV 2527, 1, VK(W), Baade-Wesselink",,,,
98,18.46,0.07,0.0492,Cepheids,2004A&A...415..531S,"OGLE, W",,,,
99,18.46,0.07,0.0492,Cepheids,2012MNRAS.424.1807R,"36, V-Ks, IRSB Period-Luminosity-Color",,,,
100,18.46,0.07,0.0492,Cepheids,2012MNRAS.424.1807R,"36, V-Ks, IRSB Period-Wesenheit",,,,
101,18.46,0.03,0.0492,Cepheids,2012MNRAS.424.1807R,"LMC Center, Weighted Mean",,,,
102,18.46,0.04,0.0492,Cepheids,2014MNRAS.440.1138E,"53, VIH",,,,
103,18.46,0.06,0.0492,Cepheids,2016AJ....151...88B,"1264, H, GAL PL",,,,
104,18.46,0.09,0.0492,Cepheids,2016AJ....151...88B,"1264, HKs(W)",,,,
107,18.47,0.07,0.0494,Cepheids,2004A&A...415..531S,"OGLE, V",,,,
108,18.47,0.03,0.0494,Cepheids,2007MNRAS.379..723V,K,,,,
109,18.47,0.03,0.0494,Cepheids,2007MNRAS.379..723V,"K, GAL+LMC PL",,,,
110,18.47,0.07,0.0494,Cepheids,2012MNRAS.424.1807R,"LMC Center, 9. V-Ks, Baade-Wesselink Period-Luminosity-Color",,,,
111,18.47,0.07,0.0494,Cepheids,2012MNRAS.424.1807R,"LMC Center, 9. V-Ks, Baade-Wesselink Period-Wesenheit",,,,
112,18.47,0.06,0.0494,Cepheids,2016AJ....151...88B,"1264, H",,,,
113,18.47,0.06,0.0494,Cepheids,2016AJ....151...88B,"1264, Ks",,,,
114,18.47,0.07,0.0494,Cepheids,2016AJ....151...88B,"1264, mean of 9",,,,
115,18.48,0.01,0.0496,Cepheids,2012ApJ...758...24F,"80, 3.6 micron, 0.033 mag systematic error",,,,
116,18.48,0.06,0.0497,Cepheids,2016AJ....151...88B,"1264, Ks, GAL PL",,,,
118,18.48,0.13,0.0497,Cepheids,2002ApJ...574L..33B,VI,,,,
119,18.48,0.1,0.0497,Cepheids,2003MNRAS.345..269H,K,,,,
120,18.48,0.07,0.0497,Cepheids,2004A&A...415..531S,"OGLE, BVRIJK",,,,
121,18.48,0.09,0.0497,Cepheids,2005A&A...440..487S,"NGC 1866, HV 12203",,,,
122,18.48,0.06,0.0497,Cepheids,2007A&A...476..863F,"10, W, Period-Wesenheit, Z2",,,,
123,18.48,0.04,0.0497,Cepheids,2012ApJ...759..146M,"10, 3.6 micron, Milky Way HST parallax PL",,,,
124,18.49,0.05,0.0498,Cepheids,2013MNRAS.430..546D,"VI(W), Z, Baade-Wesselink",,,,
125,18.49,0.06,0.0498,Cepheids,2013A&A...550A..70G,"HV 878, 1, VK(W), Baade-Wesselink",,,,
126,18.49,0.05,0.0499,Cepheids,2016MNRAS.457.3084M,"24, VI, NHC 1866, GAL PL theoretical",,,,
127,18.49,0.19,0.0499,Cepheids,2008MNRAS.390.1539M,VJ,,,,
128,18.49,0.07,0.0499,Cepheids,2012MNRAS.424.1807R,"NGC 1866, 9. V-Ks, Baade-Wesselink Period-Luminosity-Color",,,,
129,18.49,0.07,0.0499,Cepheids,2012MNRAS.424.1807R,"NGC 1866, 9. V-Ks, Baade-Wesselink Period-Wesenheit",,,,
130,18.49,0.08,0.0499,Cepheids,2016AcA....66..149J,"4222 Cepheids median, VI, OGLE, for individual Ds see galaxy LMC 3D",,,,
131,18.5,0.13,0.05,Cepheids,2000ApJS..128..431F,,,,,
132,18.5,0.03,0.05,Cepheids,2007AJ....133.1810B,W,,,,
133,18.5,0.05,0.0501,Cepheids,2013A&A...550A..70G,"HV 873, 1, VK(W), Baade-Wesselink",,,,
137,18.5,0.13,0.0501,Cepheids,2000ApJ...529..745F,HST KP Calibrated,,,,
138,18.5,0.13,0.0501,Cepheids,2000ApJS..128..431F,,,,,
139,18.5,0.13,0.0501,Cepheids,2002AJ....124.1695B,"U99,V",,,,
140,18.5,,0.0501,Cepheids,2002ApJS..142...71S,"34,BVRI",,,,
141,18.5,,0.0501,Cepheids,2003AJ....125.1261D,,,,,
142,18.5,0.07,0.0501,Cepheids,2004A&A...415..531S,"OGLE, K",,,,
143,18.5,,0.0501,Cepheids,2004AJ....127.2031K,,,,,
144,18.5,0.05,0.0501,Cepheids,2004AJ....128.2239P,"92, JHK",,,,
145,18.5,0.1,0.0501,Cepheids,2004ApJ...608...42S,VIHJK,,,,
146,18.5,,0.0501,Cepheids,2006A&A...452..423P,"718, VI",,,,
147,18.5,0.04,0.0501,Cepheids,2011A&A...534A..94S,"IRSB, PL1",,,,
148,18.5,0.04,0.0501,Cepheids,2011A&A...534A..94S,"IRSB, PL3",,,,
149,18.5,,0.0501,Cepheids,2012ApJ...745..104N,,,,,
151,18.5,0.01,0.0501,Cepheids,2016MNRAS.457.3084M,"24, VI, NHC 1866, Best Estimate Distance",,,,
152,18.5,0.01,0.0501,Cepheids,2016MNRAS.457.3084M,"24, VI, NHC 1866, noncanonical OGLE WPL(V,I) relation",,,,
153,18.51,0.03,0.0503,Cepheids,2012ApJ...748...69M,"NGC 1866, 11, U-K, Baade-Wesselink",,,,
154,18.51,0.02,0.0503,Cepheids,2012ApJ...748..107P,"136 Cepheids mean, IRAC 3.6 micron, for individual Ds see galaxy LMC 3D",,,,
155,18.51,0.0,0.0504,Cepheids,2016MNRAS.457.3084M,"OGLE III Cepheids, noncanonical OGLE WPL(V,I) relation",,,,
156,18.51,0.06,0.0504,Cepheids,2016AJ....151...88B,"1264, J, GAL PL",,,,
157,18.51,0.03,0.0504,Cepheids,2016MNRAS.457.3084M,"24, VI, NHC 1866, LMC BW 2 of 2",,,,
162,18.51,0.1,0.0504,Cepheids,2003MNRAS.345..269H,VK,,,,
163,18.51,0.02,0.0504,Cepheids,2005A&A...434.1077M,LMC SC5-338399,,,,
164,18.52,0.01,0.0506,Cepheids,2015ApJ...815...87C,81,,,,
165,18.52,0.06,0.0506,Cepheids,2016AJ....151...88B,"1264, J",,,,
166,18.52,0.04,0.0506,Cepheids,2016MNRAS.457.3084M,"24, VI, NHC 1866, GAL PL noncanonical",,,,
167,18.52,0.18,0.0506,Cepheids,2000A&A...356..849G,"K, avg of 3PL, 3PL(Z), and 3PLC",,,,
168,18.52,0.03,0.0506,Cepheids,2007MNRAS.379..723V,VI,,,,
169,18.52,0.03,0.0506,Cepheids,2007MNRAS.379..723V,"VI, GAL+LMC PL",,,,
172,18.53,0.08,0.0507,Cepheids,2002ApJ...574L..33B,VI,,,,
173,18.53,0.05,0.0508,Cepheids,2002ApJ...565L..83B,,,,,
174,18.53,0.04,0.0508,Cepheids,2012ApJ...747...50N,,,,,
175,18.53,0.04,0.0508,Cepheids,2016MNRAS.457.3084M,"24, VI, NHC 1866, GAL BW theoretical",,,,
176,18.53,0.2,0.0509,Cepheids,2013A&A...550A..70G,"HV 914, 1, VK(W), Baade-Wesselink",,,,
177,18.54,0.19,0.0511,Cepheids,2000A&A...356..849G,K,,,,
178,18.54,0.1,0.0511,Cepheids,2003MNRAS.345..269H,V,,,,
179,18.54,,0.0511,Cepheids,2004A&A...424...43S,"685, BVI",,,,
180,18.54,0.02,0.0511,Cepheids,2006ApJ...642..834K,"19, VT",,,,
181,18.55,0.02,0.0513,Cepheids,2016MNRAS.457.3084M,"24, VI, NHC 1866, GAL BW",,,,
182,18.55,0.17,0.0513,Cepheids,2000A&A...363..901G,K,,,,
183,18.55,0.1,0.0513,Cepheids,2000ApJ...533..215C,BW,,,,
184,18.55,0.1,0.0513,Cepheids,2000ApJ...533..215C,BW,,,,
185,18.55,0.08,0.0513,Cepheids,2000ApJ...533..215C,,,,,
186,18.55,0.08,0.0513,Cepheids,2000ApJ...533..215C,,,,,
187,18.55,0.02,0.0513,Cepheids,2002ApJ...578..144K,,,,,
188,18.55,,0.0513,Cepheids,2004A&A...420..655G,"10, BVIK",,,,
189,18.55,0.14,0.0513,Cepheids,2013A&A...550A..70G,"HV 12199, 1, VK(W), Baade-Wesselink",,,,
193,18.56,0.03,0.0515,Cepheids,2003MNRAS.342L..58K,,,,,
194,18.56,0.03,0.0515,Cepheids,2003MNRAS.342L..58K,,,,,
195,18.56,0.04,0.0515,Cepheids,2005ApJ...627..224G,"13, VIWJK",,,,
196,18.56,0.04,0.0515,Cepheids,2005ApJ...627..224G,"13, VIWJK",,,,
197,18.56,0.09,0.0515,Cepheids,2008ApJ...684..102B,Z = -0.29 mag dex-1,,,,
198,18.56,0.0,0.0515,Cepheids,2008MNRAS.390.1762D,Surface Brightness,,,,
199,18.56,0.03,0.0515,Cepheids,2013MNRAS.428.2185M,"NGC 1866, 5, V, +/- 0.10 mag syst.",,,,
205,18.57,0.13,0.0518,Cepheids,2004ApJ...601..260N,"VRJHK, 216",,,,
206,18.57,0.14,0.0518,Cepheids,2015MNRAS.450.3597F,NGC 4258 Cepheids,,,,
207,18.57,0.14,0.0518,Cepheids,2015MNRAS.450.3597F,NGC 4258 m-M = 29.40 mag,,,,
208,18.58,,0.052,Cepheids,2016MNRAS.457.3084M,"24, VI, NHC 1866, OGLE PL relation",,,,
210,18.58,0.15,0.052,Cepheids,2002AJ....124.1695B,"U99,V",,,,
212,18.59,0.04,0.0522,Cepheids,2002AJ....124.1213D,VI,,,,
218,18.6,0.11,0.0525,Cepheids,2000A&A...356..849G,VIK(W) 'best',,,,
219,18.6,0.11,0.0525,Cepheids,2000A&A...363..901G,W,,,,
220,18.6,,0.0525,Cepheids,2012ApJ...745..104N,,,,,
221,18.6,0.06,0.0525,Cepheids,2013A&A...550A..70G,"U 1, 1, VK(W), Baade-Wesselink",,,,
225,18.62,0.08,0.053,Cepheids,2011AJ....142..110M,,,,,
230,18.65,0.1,0.0537,Cepheids,2003A&A...410..887G,NGC 1866,,,,
232,18.65,0.07,0.0539,Cepheids,2012AJ....144..106H,"1849, VI, individual dereddening, Sandage et al. 2004 PL",,,,
233,18.66,0.15,0.054,Cepheids,2000A&A...356..849G,"VIK, avg of 3PL, 3PL(Z), 3PLC",,,,
236,18.69,0.06,0.0547,Cepheids,2007A&A...476..863F,"10, W, Period-Wesenheit, Z1",,,,
241,18.7,0.16,0.055,Cepheids,2000ApJ...533..215C,TP,,,,
242,18.71,0.01,0.0552,Cepheids,2016MNRAS.457.3084M,"24, VI, NHC 1866, canonical OGLE WPL(V,I) relation",,,,
243,18.72,0.0,0.0555,Cepheids,2016MNRAS.457.3084M,"OGLE III Cepheids, canonical OGLE WPL(V,I) relation",,,,
244,18.72,,0.0555,Cepheids,2016MNRAS.457.3084M,"OGLE III Cepheids, OGLE PL relation",,,,
247,18.73,0.04,0.0557,Cepheids,2016MNRAS.457.3084M,"24, VI, NHC 1866, GAL PL canonical",,,,
255,18.85,0.08,0.0588,Cepheids,2012AJ....144..106H,"1849, VI, area-averaged dereddening, Sandage et al. 2004 PL",,,,
258,19.01,0.18,0.0635,Cepheids,2013A&A...550A..70G,"HV 2405, 1, VK(W), Baade-Wesselink",,,,
681,18.29,0.03,0.0455,TRGB,2016AJ....151..167G,"I, syst. +/- 0.08",,,,
684,18.46,0.12,0.0492,TRGB,2000ApJ...529..745F,HST KP Calibrated,,,,
685,18.46,0.06,0.0492,TRGB,2004A&A...424..199B,IJK,,,,
686,18.51,,0.0504,TRGB,2016AJ....151..167G,"Bolometric, Z correct, syst. +/- 0.20 mag",,,,
687,18.52,0.09,0.0506,TRGB,2003AJ....125.1261D,,,,,
689,18.54,0.04,0.0511,TRGB,2004A&A...424..199B,I,,,,
690,18.55,0.04,0.0513,TRGB,2000A&A...359..601C,,,,,
692,18.59,0.09,0.0522,TRGB,2000AJ....119.1197S,,,,,
693,18.59,0.09,0.0522,TRGB,2004ApJ...608...42S,,,,,
695,18.63,0.04,0.0532,TRGB,2016AJ....151..167G,"J, syst. +/- 0.05",,,,
698,18.66,0.03,0.054,TRGB,2016AJ....151..167G,"Bolometric, syst. +/- 0.07",,,,
699,18.69,0.25,0.0547,TRGB,2000ApJ...530..738R,,,,,
700,18.7,0.04,0.055,TRGB,2016AJ....151..167G,"K, syst. +/- 0.07",,,,
563,18.24,0.08,0.0445,RR Lyrae,2001MNRAS.321..502P,,,,,
567,18.27,0.08,0.0451,RR Lyrae,2009MNRAS.396..553D,MW center 7.58 kpc,,,,
574,18.3,0.14,0.0457,RR Lyrae,2003AJ....125.1309C,,,,,
577,18.32,0.09,0.0461,RR Lyrae,2013MNRAS.435.3206D,"V, Ks",,,,
583,18.38,0.12,0.0474,RR Lyrae,2000ApJ...533..215C,,,,,
584,18.38,0.1,0.0474,RR Lyrae,2002AJ....123..473B,,,,,
585,18.38,0.16,0.0474,RR Lyrae,2003AJ....125.1309C,,,,,
586,18.38,0.17,0.0474,RR Lyrae,2009A&A...502..505B,Field Ne01,,,,
587,18.39,0.24,0.0476,RR Lyrae,2012AJ....144..186K,,,,,
590,18.4,0.2,0.0479,RR Lyrae,2000ApJ...533..215C,BW,,,,
591,18.4,0.2,0.0479,RR Lyrae,2013AJ....145..160K,V,,,,
592,18.4,0.23,0.0479,RR Lyrae,2014MNRAS.438.2440D,"13,095, Metallicity group 3",,,,
593,18.41,0.05,0.0481,RR Lyrae,2001A&A...371..579K,"NGC 1841, for IC 4499 m-M = 16.47",,,,
594,18.41,0.08,0.0481,RR Lyrae,2009A&A...502..505B,Field LMC-E4,,,,
598,18.43,0.06,0.0485,RR Lyrae,2004AJ....127..334A,,,,,
599,18.43,0.15,0.0485,RR Lyrae,2011AJ....142..107K,NGC 1466,,,,
602,18.44,0.11,0.0488,RR Lyrae,2008ApJ...676L.135C,,,,,
603,18.44,0.14,0.0488,RR Lyrae,2008MNRAS.384.1583S,"ESO 118- G 031, Reticulum cluster, V",,,,
604,18.45,0.09,0.049,RR Lyrae,2003AJ....125.1309C,,,,,
605,18.46,0.04,0.0492,RR Lyrae,2001A&A...371..579K,"ESO 118- G 031, Reticulum cluster, for IC 4499 m-M = 16.47",,,,
606,18.46,,0.0492,RR Lyrae,2009A&A...502..505B,Field LMC-E1,,,,
607,18.47,0.22,0.0494,RR Lyrae,2014MNRAS.438.2440D,"13,095, Metallicity group 2",,,,
608,18.47,0.19,0.0494,RR Lyrae,2000ApJ...533..215C,,,,,
609,18.47,0.07,0.0494,RR Lyrae,2003AJ....125.1261D,,,,,
610,18.47,,0.0494,RR Lyrae,2004ApJS..154..633C,,,,,
611,18.47,0.06,0.0494,RR Lyrae,2013AJ....145..160K,I,,,,
612,18.47,,0.0494,RR Lyrae,2013ApJ...776..135M,K,,,,
613,18.48,0.01,0.0497,RR Lyrae,2015ApJ...815...87C,63,,,,
614,18.48,0.08,0.0497,RR Lyrae,2004A&A...423...97B,,,,,
615,18.48,0.11,0.0497,RR Lyrae,2008MNRAS.384.1583S,"ESO 118- G 031, Reticulum cluster, K",,,,
616,18.48,0.13,0.0497,RR Lyrae,2008MNRAS.384.1583S,"V, LMC center",,,,
619,18.49,0.11,0.0499,RR Lyrae,2008AJ....135...83C,,,,,
620,18.49,0.31,0.0499,RR Lyrae,2009A&A...502..505B,Field LMC-E7,,,,
622,18.5,0.09,0.0501,RR Lyrae,2003A&A...408..529G,,,,,
623,18.52,0.09,0.0505,RR Lyrae,2003AJ....125.1309C,,,,,
624,18.52,0.02,0.0506,RR Lyrae,2000A&A...363L...1K,,,,,
625,18.52,0.01,0.0506,RR Lyrae,2004ApJ...610..269D,"ESO 118- G 031, Reticulum cluster, K, 21 RRab, 9 RRc",,,,
626,18.52,0.02,0.0506,RR Lyrae,2014AJ....147...31M,OI,,,,
627,18.52,0.12,0.0506,RR Lyrae,2017AcA....67....1J,"19,401 RR Lyrae Median, for individual Ds see galaxy LMC 3D",,,,
630,18.53,0.1,0.0508,RR Lyrae,2002AJ....123..473B,,,,,
631,18.53,,0.0508,RR Lyrae,2008ApJ...679...52T,,,,,
632,18.53,0.13,0.0508,RR Lyrae,2009A&A...502..505B,"50 RR Lyrae mean, for individual Ds see galaxy LMC 3D",,,,
633,18.53,0.07,0.0508,RR Lyrae,2011AJ....142..110M,RR Lyrae c,,,,
634,18.53,,0.0508,RR Lyrae,2011AJ....142..187B,"VK, reduced parallax method",,,,
635,18.53,0.02,0.0508,RR Lyrae,2014AJ....147...31M,weighted mean,,,,
636,18.54,0.15,0.051,RR Lyrae,2006MNRAS.372.1675S,,,,,
639,18.54,0.02,0.0511,RR Lyrae,2005AJ....129.2257M,"15, BV",,,,
640,18.54,0.2,0.0511,RR Lyrae,2009A&A...502..505B,Field LMC-E9,,,,
641,18.55,0.03,0.0512,RR Lyrae,2008AJ....136..272S,"J, RRab+RRc, Catelan et al. (2004)",,,,
642,18.55,0.1,0.0513,RR Lyrae,2017AJ....153..154B,,,,,
645,18.55,0.03,0.0513,RR Lyrae,2003MNRAS.342L..58K,,,,,
646,18.55,0.05,0.0513,RR Lyrae,2011AJ....142..187B,"VK, LHK method",,,,
647,18.55,0.1,0.0513,RR Lyrae,2013MNRAS.431.1565W,,,,,
648,18.56,0.02,0.0515,RR Lyrae,2014AJ....147...31M,OII,,,,
649,18.56,0.03,0.0516,RR Lyrae,2008AJ....136..272S,"K, RRab+RRc, Sollima et al. (2008)",,,,
650,18.57,0.03,0.0516,RR Lyrae,2008AJ....136..272S,"J, RRab, Catelan et al. (2004)",,,,
653,18.57,0.05,0.0518,RR Lyrae,2017MNRAS.466.4138W,Magellanic Bridge,,,,
654,18.58,0.03,0.052,RR Lyrae,2008AJ....136..272S,"K, RRab, Sollima et al. (2008)",,,,
655,18.58,0.03,0.052,RR Lyrae,2008AJ....136..272S,"K, RRab+RRc, Sollima et al. (2008)",,,,
656,18.58,0.03,0.052,RR Lyrae,2008AJ....136..272S,,,,,
657,18.58,0.07,0.052,RR Lyrae,2011AJ....142..110M,RR Lyrae ab,,,,
658,18.59,0.03,0.0522,RR Lyrae,2008AJ....136..272S,"K, RRab+RRc, Catelan et al. (2004)",,,,
659,18.59,0.24,0.0523,RR Lyrae,2014MNRAS.438.2440D,"13,095, Metallicity group 1",,,,
660,18.6,,0.0525,RR Lyrae,2000MNRAS.316..819C,,,,,
661,18.6,0.03,0.0525,RR Lyrae,2008AJ....136..272S,"K, RRab, Sollima et al. (2008)",,,,
662,18.6,0.03,0.0526,RR Lyrae,2008AJ....136..272S,"K, RRab+RRc, Bono et al. (2003)",,,,
663,18.6,0.17,0.0527,RR Lyrae,2012AJ....144..106H,"16949, V, area-averaged dereddening",,,,
665,18.61,0.03,0.0527,RR Lyrae,2008AJ....136..272S,"K, RRab, Catelan et al. (2004)",,,,
666,18.61,0.03,0.0527,RR Lyrae,2008AJ....136..272S,"K, RRab, Catelan et al. (2004)",,,,
667,18.61,0.03,0.0527,RR Lyrae,2008AJ....136..272S,"K, RRab+RRc, Catelan et al. (2004)",,,,
668,18.61,0.11,0.0527,RR Lyrae,2009A&A...502..505B,Field LMC-E14,,,,
669,18.62,0.03,0.0529,RR Lyrae,2008AJ....136..272S,"K, RRab, Bono et al. (2003)",,,,
671,18.62,0.03,0.053,RR Lyrae,2008AJ....136..272S,"K, RRab, Bono et al. (2003)",,,,
672,18.62,0.03,0.053,RR Lyrae,2008AJ....136..272S,"K, RRab+RRc, Bono et al. (2003)",,,,
673,18.62,0.13,0.0531,RR Lyrae,2012AJ....144..106H,"16949, V, individual dereddening",,,,
674,18.64,0.04,0.0535,RR Lyrae,2001A&A...371..579K,"NGC 1466, for IC 4499 m-M = 16.47",,,,
675,18.64,0.04,0.0535,RR Lyrae,2001PASP..113..335M,,,,,
677,18.68,0.1,0.0545,RR Lyrae,2015ApJ...807..127M,"70, K, GAL PL Benedict et al. 2011",,,,
678,18.68,0.05,0.0545,RR Lyrae,2009A&A...502..505B,Field LMC-E12,,,,
680,18.74,0.17,0.056,RR Lyrae,2009A&A...502..505B,Field LMC-F1,,,,
